iter	Passed	Remaining
177	1164	5377
178	1167	5353
179	1170	5331
180	1173	5308
181	1176	5287
182	1180	5268
183	1183	5249
184	1187	5229
185	1190	5209
186	1193	5188
187	1197	5170
188	1199	5148
189	1203	5130
190	1206	5109
191	1210	5092
192	1213	5072
193	1216	5054
194	1219	5034
195	1222	5013
196	1225	4995
197	1228	4975
198	1231	4957
199	1234	4937
200	1237	4919
201	1240	4900
202	1244	4884
203	1247	4866
204	1251	4851
205	1254	4835
206	1257	4819
207	1260	4800
208	1264	4784
209	1266	4766
210	1270	4749
211	1273	4732
212	1276	4715
213	1279	4700
214	1282	4683
215	1285	4666
216	1288	4649
217	1291	4633
218	1294	4616
219	1297	4599
220	1300	4584
221	1303	4568
222	1307	4554
223	1309	4536
224	1312	4520
225	1316	4507
226	1320	4495
227	1322	4478
228	1325	4463
229	1328	4448
230	1331	4433
231	1335	4419
232	1337	4404
233	1341	4391
234	1344	4377
235	1347	4363
236	1351	4349
237	1353	4335
238	1356	4319
239	1359	4306
240	1362	4291
241	1365	4277
242	1368	4264
243	1371	4250
244	1376	4241
245	1380	4231
246	1383	4217
247	1387	4207
248	1391	4195
249	1408	4226
250	1420	4238
251	1423	4225
252	1431	4225
253	1434	4214
254	1438	4203
255	1442	4192
256	1446	4183
257	1451	4173
258	1455	4163
259	1459	4153
260	1463	4143
261	1467	4132
262	1470	4121
263	1474	4110
264	1478	4101
265	1482	4090
266	1486	4081
267	1490	4071
268	1495	4062
269	1498	4050
270	1502	4041
271	1505	4030
272	1509	4019
273	1515	4016
274	1521	4011
275	1526	4004
276	1535	4007
277	1544	4010
278	1550	4007
279	1556	4001
280	1562	3998
281	1571	4000
282	1581	4006
283	1584	3993
284	1587	3982
285	1590	3970
286	1593	3958
287	1596	3946
288	1599	3935
289	1602	3923
290	1605	3911
291	1608	3899
292	1611	3888
293	1614	3877
294	1618	3867
295	1621	3855
296	1625	3848
297	1628	3836
298	1631	3824
299	1634	3813
300	1637	3802
301	1640	3791
302	1643	3780
303	1646	3768
304	1649	3758
305	1652	3747
306	1655	3736
307	1658	3725
308	1661	3714
309	1664	3703
310	1666	3692
311	1670	3684
312	1673	3673
313	1677	3664
314	1679	3653
315	1683	3644
316	1686	3633
317	1690	3625
318	1693	3615
319	1697	3606
320	1700	3595
321	1703	3586
322	1706	3576
323	1709	3566
324	1712	3556
325	1715	3546
326	1718	3536
327	1721	3526
328	1724	3516
329	1727	3507
330	1730	3497
331	1733	3488
332	1737	3479
333	1740	3470
334	1743	3460
335	1747	3453
336	1750	3443
337	1753	3433
338	1756	3424
339	1759	3416
340	1763	3407
341	1766	3399
342	1770	3390
343	1773	3381
344	1776	3372
345	1779	3363
346	1782	3353
347	1785	3344
348	1788	3335
349	1791	3326
350	1793	3317
351	1796	3308
352	1800	3300
353	1804	3292
354	1807	3283
355	1810	3274
356	1813	3265
357	1816	3257
358	1820	3249
359	1823	3240
360	1827	3233
361	1830	3225
362	1833	3218
363	1836	3209
364	1840	3201
365	1843	3192
366	1846	3184
367	1849	3175
368	1852	3167
369	1855	3158
370	1858	3150
371	1861	3141
372	1864	3133
373	1867	3126
374	1871	3118
375	1874	3110
376	1877	3102
377	1880	3093
378	1883	3085
379	1886	3077
380	1889	3069
381	1893	3063
382	1896	3055
383	1899	3047
384	1902	3039
385	1906	3031
386	1909	3023
387	1912	3016
388	1915	3008
389	1918	3000
390	1921	2992
391	1924	2984
392	1926	2976
393	1929	2968
394	1933	2961
395	1936	2953
396	1940	2947
397	1943	2940
398	1946	2932
399	1949	2924
400	1952	2916
401	1955	2908
402	1958	2901
403	1961	2893
404	1966	2889
405	1969	2881
406	1973	2875
407	1976	2868
408	1980	2861
409	1983	2853
410	1986	2846
411	1988	2838
412	1992	2831
413	1995	2824
414	1998	2817
415	2001	2810
416	2005	2803
417	2008	2795
418	2011	2788
419	2014	2781
420	2017	2774
421	2020	2766
422	2023	2759
423	2026	2752
424	2030	2746
425	2033	2739
426	2038	2735
427	2041	2728
428	2044	2721
429	2047	2714
430	2050	2707
431	2053	2700
432	2057	2693
433	2059	2686
434	2063	2680
435	2066	2672
436	2071	2668
437	2074	2662
438	2078	2655
439	2080	2648
440	2084	2641
441	2087	2634
442	2090	2627
443	2093	2621
444	2096	2614
445	2100	2608
446	2103	2602
447	2106	2595
448	2109	2588
449	2112	2581
450	2115	2574
451	2118	2568
452	2120	2561
453	2123	2554
454	2126	2547
455	2129	2541
456	2132	2534
457	2136	2528
458	2140	2522
459	2143	2516
460	2146	2510
461	2150	2504
462	2153	2497
463	2156	2491
464	2159	2484
465	2162	2477
466	2165	2471
467	2169	2466
468	2172	2459
469	2175	2453
470	2178	2447
471	2181	2440
472	2184	2433
473	2187	2427
474	2190	2421
475	2193	2414
476	2196	2407
477	2199	2401
478	2202	2395
479	2204	2388
480	2208	2383
481	2211	2376
482	2216	2372
483	2218	2365
484	2222	2359
485	2225	2353
486	2228	2347
487	2231	2341
488	2234	2334
489	2237	2328
490	2241	2323
491	2244	2317
492	2247	2310
493	2250	2304
494	2253	2298
495	2256	2292
496	2259	2286
497	2262	2280
498	2266	2275
499	2270	2270
500	2272	2263
501	2278	2260
502	2281	2254
503	2285	2249
504	2289	2243
505	2293	2238
506	2296	2233
507	2300	2227
508	2303	2222
509	2307	2216
510	2312	2213
511	2320	2211
512	2327	2209
513	2330	2204
514	2334	2198
515	2337	2192
516	2340	2186
517	2343	2180
518	2346	2175
519	2349	2169
520	2352	2163
521	2356	2157
522	2359	2151
523	2361	2145
524	2364	2139
525	2367	2133
526	2370	2128
527	2373	2122
528	2377	2116
529	2380	2110
530	2383	2105
531	2386	2099
532	2390	2094
533	2393	2088
534	2396	2082
535	2399	2077
536	2402	2071
537	2405	2065
538	2408	2059
539	2411	2054
540	2414	2048
541	2417	2042
542	2422	2038
543	2435	2041
544	2441	2038
545	2444	2032
546	2448	2027
547	2451	2021
548	2454	2016
549	2457	2010
550	2461	2005
551	2464	1999
552	2467	1994
553	2470	1988
554	2473	1982
555	2476	1977
556	2479	1972
557	2483	1966
558	2486	1961
559	2489	1956
560	2492	1950
561	2495	1944
562	2498	1939
563	2501	1933
564	2504	1928
565	2507	1922
566	2510	1916
567	2513	1911
568	2518	1907
569	2522	1902
570	2525	1897
571	2530	1893
572	2533	1887
573	2536	1882
574	2539	1876
575	2542	1871
576	2545	1865
577	2548	1860
578	2551	1855
579	2555	1850
580	2558	1845
581	2561	1839
582	2564	1834
583	2567	1829
584	2571	1823
585	2574	1818
586	2579	1815
587	2587	1813
588	2599	1814
589	2608	1812
590	2616	1811
591	2627	1810
592	2629	1805
593	2633	1799
594	2636	1794
595	2639	1788
596	2642	1783
597	2645	1778
598	2648	1773
599	2651	1767
600	2655	1762
601	2658	1757
602	2661	1752
603	2664	1747
604	2667	1741
605	2671	1736
606	2673	1731
607	2677	1726
608	2680	1720
609	2683	1715
610	2686	1710
611	2690	1705
612	2693	1700
613	2696	1695
614	2699	1689
615	2702	1684
616	2705	1679
617	2708	1674
618	2711	1668
619	2714	1663
620	2717	1658
621	2721	1653
622	2724	1648
623	2727	1643
624	2730	1638
625	2734	1633
626	2736	1628
627	2740	1623
628	2742	1617
629	2746	1613
630	2749	1607
631	2753	1603
632	2756	1598
633	2760	1593
634	2763	1588
635	2766	1583
636	2769	1577
637	2772	1573
638	2775	1567
639	2778	1562
640	2781	1557
641	2784	1552
642	2787	1547
643	2790	1542
644	2794	1538
645	2797	1533
646	2801	1528
647	2804	1523
648	2807	1518
649	2810	1513
650	2813	1508
651	2816	1503
652	2819	1498
653	2823	1493
654	2826	1488
655	2829	1483
656	2833	1479
657	2835	1474
658	2838	1469
659	2842	1464
660	2844	1459
661	2847	1454
662	2850	1449
663	2853	1444
664	2857	1439
665	2860	1434
666	2866	1431
667	2869	1426
668	2873	1421
669	2876	1416
670	2879	1411
671	2882	1406
672	2885	1402
673	2888	1397
674	2891	1392
675	2894	1387
676	2898	1382
677	2900	1377
678	2903	1372
679	2906	1367
680	2910	1363
681	2912	1358
682	2916	1353
683	2919	1348
684	2922	1343
685	2924	1338
686	2928	1334
687	2931	1329
688	2935	1324
689	2937	1319
690	2940	1315
691	2943	1310
692	2946	1305
693	2949	1300
694	2952	1295
695	2955	1290
696	2958	1286
697	2961	1281
698	2965	1276
699	2968	1272
700	2970	1267
701	2973	1262
702	2976	1257
703	2979	1252
704	2982	1248
705	2985	1243
706	2988	1238
707	2991	1233
708	2994	1229
709	2997	1224
710	3001	1219
711	3004	1215
712	3007	1210
713	3012	1206
714	3015	1202
715	3018	1197
716	3023	1193
717	3027	1189
718	3030	1184
719	3033	1179
720	3037	1175
721	3039	1170
722	3042	1165
723	3045	1161
724	3048	1156
725	3051	1151
726	3054	1147
727	3057	1142
728	3060	1137
729	3064	1133
730	3067	1128
731	3070	1124
732	3074	1119
733	3076	1115
734	3080	1110
735	3083	1105
736	3086	1101
737	3090	1097
738	3093	1092
739	3096	1088
740	3100	1083
741	3103	1078
742	3106	1074
743	3109	1069
744	3112	1065
745	3115	1060
746	3118	1056
747	3121	1051
748	3124	1047
749	3127	1042
750	3130	1037
751	3133	1033
752	3136	1028
753	3139	1024
754	3142	1019
755	3145	1015
756	3148	1010
757	3151	1006
758	3154	1001
759	3157	997
760	3161	992
761	3164	988
762	3167	983
763	3170	979
764	3173	974
765	3176	970
766	3180	966
767	3183	961
768	3186	957
769	3189	952
770	3192	948
771	3195	943
772	3198	939
773	3201	934
774	3204	930
775	3207	926
776	3211	921
777	3214	917
778	3216	912
779	3219	908
780	3222	903
781	3225	899
782	3229	894
783	3232	890
784	3235	886
785	3238	881
786	3241	877
787	3244	872
788	3247	868
789	3250	864
790	3253	859
791	3256	855
792	3259	850
793	3262	846
794	3266	842
795	3269	837
796	3273	833
797	3275	829
798	3279	824
799	3281	820
800	3284	816
801	3287	811
802	3291	807
803	3294	803
804	3299	799
805	3302	794
806	3306	790
807	3310	786
808	3314	782
809	3317	778
810	3321	773
811	3324	769
812	3328	765
813	3331	761
814	3334	756
815	3337	752
816	3342	748
817	3344	744
818	3348	740
819	3351	735
820	3354	731
821	3357	727
822	3361	722
823	3363	718
824	3366	714
825	3369	709
826	3372	705
827	3375	701
828	3378	696
829	3381	692
830	3384	688
831	3387	683
832	3390	679
833	3393	675
834	3396	671
835	3399	666
836	3402	662
837	3405	658
838	3409	654
839	3412	649
840	3415	645
841	3418	641
842	3423	637
843	3428	633
844	3432	629
845	3435	625
846	3440	621
847	3444	617
848	3449	613
849	3452	609
850	3456	605
851	3459	600
852	3462	596
853	3465	592
854	3468	588
855	3471	584
856	3475	579
857	3477	575
858	3480	571
859	3483	567
860	3486	562
861	3489	558
862	3492	554
863	3496	550
864	3501	546
865	3506	542
866	3511	538
867	3514	534
868	3517	530
869	3521	526
870	3526	522
871	3529	518
872	3533	514
873	3537	509
874	3540	505
875	3546	502
876	3550	497
877	3554	493
878	3558	489
879	3562	485
880	3566	481
881	3570	477
882	3574	473
883	3578	469
884	3582	465
885	3586	461
886	3591	457
887	3595	453
888	3599	449
889	3603	445
890	3607	441
891	3611	437
892	3615	433
893	3619	429
894	3623	425
895	3626	420
896	3630	416
897	3633	412
898	3637	408
899	3641	404
900	3645	400
901	3649	396
902	3655	392
903	3658	388
904	3663	384
905	3667	380
906	3671	376
907	3676	372
908	3680	368
909	3684	364
910	3687	360
911	3691	356
912	3695	352
913	3699	348
914	3702	343
915	3707	340
916	3711	335
917	3715	331
918	3718	327
919	3722	323
920	3725	319
921	3729	315
922	3733	311
923	3736	307
924	3740	303
925	3744	299
926	3746	295
927	3749	290
928	3752	286
929	3755	282
930	3758	278
931	3761	274
932	3764	270
933	3768	266
934	3770	262
935	3774	258
936	3777	253
937	3780	249
938	3783	245
939	3786	241
940	3789	237
941	3793	233
942	3795	229
943	3799	225
944	3801	221
945	3805	217
946	3808	213
947	3811	209
948	3814	205
949	3819	201
950	3823	197
951	3834	193
952	3846	189
953	3849	185
954	3858	181
955	3866	177
956	3869	173
957	3881	170
958	3884	166
959	3890	162
960	3893	158
961	3900	154
962	3908	150
963	3913	146
964	3923	142
965	3932	138
966	3939	134
967	3947	130
968	3957	126
969	3963	122
970	3976	118
971	3988	114
972	4000	111
973	4012	107
974	4021	103
975	4033	99
976	4052	95
977	4063	91
978	4070	87
979	4079	83
980	4083	79
981	4091	75
982	4100	70
983	4106	66
984	4116	62
985	4129	58
986	4135	54
987	4156	50
988	4168	46
989	4177	42
990	4180	37
991	4189	33
992	4192	29
993	4202	25
994	4208	21
995	4213	16
996	4216	12
997	4221	8
998	4225	4
999	4231	0
	344
974	12945	331
975	12971	318
976	12985	305
977	13008	292
978	13025	279
979	13048	266
980	13076	253
981	13103	240
982	13120	226
983	13153	213
984	13170	200
985	13186	187
986	13204	173
987	13217	160
988	13237	147
989	13256	133
990	13277	120
991	13293	107
992	13300	93
993	13323	80
994	13338	67
995	13358	53
996	13377	40
997	13387	26
998	13408	13
999	13428	0
